"Heart Rate","RR","P Wave Duration","PR Segment","PR Interval","QRS Interval","T Wave Duration","ST Segment","QT Interval","QT Corrected (Bazett)",
96.1538,624,68,48,116,72,168,68,308,389.905,
95.5414,628,64,52,116,68,168,72,308,388.661,
96.1538,624,64,48,112,72,168,72,312,394.968,
95.5414,628,76,52,128,72,168,68,308,388.661,
95.5414,628,80,44,124,72,164,76,312,393.708,
94.9367,632,68,48,116,72,164,76,312,392.461,
96.1538,624,68,48,116,72,164,76,312,394.968,
96.1538,624,72,48,120,72,168,72,312,394.968,
96.7742,620,72,44,116,72,168,72,312,396.24,
96.1538,624,72,48,120,72,168,72,312,394.968,
97.4026,616,76,44,120,72,164,72,308,392.428,
98.6842,608,60,52,112,68,164,76,308,395.002,
99.3377,604,68,48,116,68,160,80,308,396.307,
99.3377,604,64,52,116,68,164,76,308,396.307,
99.3377,604,68,48,116,72,164,72,308,396.307,
98.6842,608,64,48,112,72,168,68,308,395.002,
98.0392,612,72,48,120,72,164,76,312,398.822,
97.4026,616,72,44,116,76,164,72,312,397.525,
96.1538,624,76,48,124,72,164,76,312,394.968,
94.3396,636,76,48,124,72,160,76,308,386.209,
93.75,640,72,48,120,72,168,72,312,390,
92.5926,648,72,44,116,72,168,72,312,387.585,
93.1677,644,72,48,120,68,168,72,308,383.802,
94.3396,636,60,52,112,72,168,72,312,391.224,
96.1538,624,72,44,116,72,160,76,308,389.905,
95.5414,628,68,48,116,72,164,76,312,393.708,
96.7742,620,72,48,120,68,168,72,308,391.16,
98.6842,608,68,48,116,72,164,76,312,400.132,
99.3377,604,64,52,116,68,168,72,308,396.307,
100,600,68,44,112,72,164,72,308,397.626,
99.3377,604,72,44,116,72,164,76,312,401.454,
98.6842,608,72,44,116,72,164,76,312,400.132,
97.4026,616,72,44,116,72,160,76,308,392.428,
96.7742,620,68,48,116,68,164,80,312,396.24,
96.7742,620,72,48,120,72,164,72,308,391.16,
97.4026,616,64,52,116,72,160,76,308,392.428,
98.6842,608,68,52,120,72,160,72,304,389.872,
100,600,68,48,116,72,164,76,312,402.79,
99.3377,604,72,44,116,72,164,76,312,401.454,
98.0392,612,76,48,124,72,164,72,308,393.709,
97.4026,616,64,52,116,72,156,76,304,387.332,
98.0392,612,80,48,128,72,164,76,312,398.822,
97.4026,616,64,48,112,72,156,76,304,387.332,
96.7742,620,60,52,112,68,160,76,304,386.08,
98.0392,612,80,52,132,72,160,80,312,398.822,
96.7742,620,72,40,112,68,160,84,312,396.24,
97.4026,616,72,48,120,72,152,84,308,392.428,
97.4026,616,72,52,124,76,160,76,312,397.525,
97.4026,616,84,28,112,72,164,76,312,397.525,
96.1538,624,68,48,116,72,160,80,312,394.968,
95.5414,628,68,48,116,72,164,76,312,393.708,
96.7742,620,72,48,120,68,160,80,308,391.16,
98.0392,612,64,52,116,72,168,72,312,398.822,
97.4026,616,64,52,116,68,164,76,308,392.428,
98.6842,608,72,48,120,68,156,80,304,389.872,
98.6842,608,68,52,120,72,160,76,308,395.002,
98.6842,608,68,48,116,72,160,80,312,400.132,
97.4026,616,68,44,112,72,168,72,312,397.525,
98.6842,608,60,52,112,72,168,72,312,400.132,
98.6842,608,52,60,112,68,148,88,304,389.872,
99.3377,604,76,52,128,72,160,80,312,401.454,
100,600,68,44,112,72,168,72,312,402.79,
98.0392,612,68,44,112,72,160,76,308,393.709,
97.4026,616,64,48,112,72,160,76,308,392.428,
96.7742,620,68,52,120,68,164,76,308,391.16,
97.4026,616,72,48,120,72,168,76,316,402.621,
96.7742,620,68,48,116,68,168,76,312,396.24,
98.0392,612,76,48,124,72,164,76,312,398.822,
100,600,60,48,108,72,164,72,308,397.626,
102.041,588,68,48,116,72,168,72,312,406.88,
102.74,584,64,48,112,72,168,68,308,403.036,
104.167,576,52,60,112,72,172,68,312,411.096,
105.634,568,64,44,108,68,160,76,304,403.366,
107.143,560,68,44,112,68,168,72,308,411.582,
108.696,552,64,44,108,68,164,76,308,414.554,
109.489,548,60,48,108,68,164,76,308,416.064,
109.489,548,60,48,108,68,164,72,304,410.661,
111.111,540,64,40,104,68,164,72,304,413.692,
111.111,540,68,48,116,64,168,72,304,413.692,
112.782,532,48,52,100,64,160,76,300,411.306,
113.636,528,48,40,88,68,160,76,304,418.366,
113.636,528,52,40,92,68,168,68,304,418.366,
114.504,524,52,40,92,68,160,76,304,419.96,
111.94,536,64,40,104,72,160,72,304,415.232,
112.782,532,52,40,92,68,168,72,308,422.275,
113.636,528,68,44,112,68,164,72,304,418.366,
115.385,520,64,44,108,68,168,68,304,421.572,
115.385,520,64,40,104,68,168,68,304,421.572,
116.279,516,52,44,96,68,160,76,304,423.203,
116.279,516,64,40,104,68,164,72,304,423.203,
115.385,520,64,44,108,64,160,76,300,416.025,
116.279,516,64,44,108,68,168,68,304,423.203,
115.385,520,64,40,104,68,164,72,304,421.572,
111.94,536,60,44,104,64,164,76,304,415.232,
107.914,556,60,40,100,68,164,76,308,413.06,
102.041,588,68,36,104,72,172,76,320,417.312,
95.5414,628,68,40,108,72,168,80,320,403.804,
93.75,640,68,40,108,72,168,76,316,395,
94.9367,632,64,40,104,72,172,76,320,402.524,
96.1538,624,64,36,100,72,172,76,320,405.096,
100,600,60,40,100,68,164,80,312,402.79,
104.167,576,64,36,100,68,164,80,312,411.096,
104.895,572,56,48,104,68,164,76,308,407.242,
107.914,556,56,44,100,68,164,76,308,413.06,
108.696,552,56,40,96,68,160,80,308,414.554,
110.294,544,52,40,92,68,164,80,312,423.014,
108.696,552,56,48,104,64,164,76,304,409.17,
111.94,536,56,36,92,68,164,76,308,420.696,
111.111,540,56,48,104,64,164,76,304,413.692,
113.636,528,56,40,96,68,164,72,304,418.366,
113.636,528,60,40,100,68,168,68,304,418.366,
113.636,528,60,44,104,64,168,72,304,418.366,
114.504,524,56,48,104,64,168,72,304,419.96,
114.504,524,64,40,104,64,168,72,304,419.96,
115.385,520,56,48,104,68,168,68,304,421.572,
116.279,516,60,44,104,68,164,68,300,417.635,
115.385,520,56,44,100,64,164,72,300,416.025,
115.385,520,56,44,100,68,164,72,304,421.572,
116.279,516,60,40,100,68,164,68,300,417.635,
116.279,516,52,44,96,68,160,76,304,423.203,
115.385,520,56,44,100,64,156,76,296,410.478,
117.188,512,64,40,104,68,168,68,304,424.853,
118.11,508,60,48,108,68,164,72,304,426.522,
119.048,504,56,40,96,68,160,72,300,422.577,
118.11,508,52,36,88,68,160,72,300,420.91,
118.11,508,64,44,108,68,164,72,304,426.522,
116.279,516,60,44,104,68,156,72,296,412.066,
111.111,540,68,32,100,68,160,72,300,408.248,
109.489,548,64,44,108,68,164,68,300,405.257,
107.143,560,68,40,108,68,164,72,304,406.237,
107.914,556,56,44,100,68,160,72,300,402.331,
109.489,548,60,44,104,64,160,76,300,405.257,
110.294,544,60,40,100,64,156,76,296,401.321,
111.94,536,64,44,108,64,172,68,304,415.232,
112.782,532,56,48,104,68,156,76,300,411.306,
113.636,528,40,44,84,68,164,72,304,418.366,
111.94,536,56,44,100,64,160,76,300,409.769,
114.504,524,60,44,104,68,164,68,300,414.434,
114.504,524,56,48,104,64,152,80,296,408.908,
112.782,532,48,52,100,68,156,72,296,405.822,
112.782,532,64,40,104,68,156,72,296,405.822,
113.636,528,64,44,108,68,160,72,300,412.861,
113.636,528,60,44,104,64,156,76,296,407.357,
112.782,532,56,52,108,68,152,72,292,400.338,
111.111,540,64,40,104,64,164,72,300,408.248,
111.111,540,68,48,116,68,164,72,304,413.692,
107.914,556,56,48,104,64,164,68,296,396.967,
107.914,556,60,48,108,68,168,68,304,407.696,
107.143,560,60,48,108,68,172,60,300,400.892,
106.383,564,60,52,112,64,152,80,296,394.141,
107.143,560,68,60,128,60,156,80,296,395.547,
107.914,556,68,44,112,64,160,72,296,396.967,
109.489,548,60,48,108,68,156,72,296,399.854,
109.489,548,40,48,88,64,164,76,304,410.661,
109.489,548,60,48,108,64,164,68,296,399.854,
108.696,552,56,48,104,64,160,72,296,398.403,
109.489,548,64,40,104,68,164,72,304,410.661,
109.489,548,64,44,108,68,156,76,300,405.257,
109.489,548,68,44,112,64,156,76,296,399.854,
111.111,540,64,44,108,64,160,72,296,402.805,
111.94,536,60,48,108,64,164,68,296,404.305,
112.782,532,68,44,112,64,160,72,296,405.822,
113.636,528,68,40,108,68,160,72,300,412.861,
113.636,528,60,48,108,64,160,72,296,407.357,
114.504,524,60,40,100,68,164,68,300,414.434,
114.504,524,60,44,104,64,160,68,292,403.383,
115.385,520,60,48,108,64,156,72,292,404.931,
116.279,516,64,40,104,68,156,72,296,412.066,
115.385,520,56,44,100,68,156,72,296,410.478,
113.636,528,68,48,116,68,156,72,296,407.357,
111.111,540,64,44,108,68,156,76,300,408.248,
107.914,556,64,40,104,72,160,68,300,402.331,
103.448,580,64,44,108,72,160,68,300,393.919,
100,600,68,40,108,72,160,68,300,387.298,
99.3377,604,60,44,104,72,160,68,300,386.014,
100.671,596,60,44,104,72,160,68,300,388.596,
100,600,68,40,108,72,164,68,304,392.462,
100.671,596,68,40,108,72,164,68,304,393.777,
104.167,576,64,40,104,68,160,72,300,395.285,
102.74,584,64,40,104,72,164,68,304,397.802,
104.167,576,64,44,108,68,164,72,304,400.555,
105.634,568,60,44,104,68,160,72,300,398.059,
107.143,560,64,48,112,68,164,68,300,400.892,
109.489,548,60,44,104,68,152,80,300,405.257,
108.696,552,72,48,120,64,156,76,296,398.403,
109.489,548,60,44,104,68,164,72,304,410.661,
107.143,560,68,48,116,68,164,68,300,400.892,
106.383,564,64,44,108,72,164,68,304,404.794,
104.167,576,64,44,108,72,160,72,304,400.555,
